carpeta1,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
carpeta2,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
carpeta3,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo.aspx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
imagen.png,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
imagen.jpg,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-pdf.pdf,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-word.docx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
Imagenes, folder,12/12/2012 00:45pm, 12/12/2012 00:45pm, bmedinam, 5mb
Documentos, folder,12/12/2012 00:45pm, 12/12/2012 00:45pm, bmedinam, 10mb
Matematicas, folder,12-12-2012, 12-12-2012, bmedinam, 45
Programacion Orientada a Objetos, folder,12/12/12, 12/12/12, jperez, 55MB
Desarrolloweb, folder,12/12/2012, 12/12/2012, jperez, 55mb
