carpeta1,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
carpeta2,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
carpeta3,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo.aspx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
imagen.png,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
imagen.jpg,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-pdf.pdf,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-word.docx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-cualquiera.aspx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
hola1,folder,02/02/2017 2:40am,02/02/2017 2:41am,hjesus,100mb
hola2,folder,10/01/2012,11/02/2013,jesus,0mb
hola.jpg,file,10/01/2012,10/01/2013,jesus,10mb
ba.docx,file,hoy,hoy,hjesus,7mb
ClasesUNAH,folder,12/12/2012,12/12/2012,asd.asd,411
Subcarpeta,folder,12/12/2012,12/12/2012,aaaa,25
