carpeta1,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
carpeta2,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
carpeta3,folder,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo.aspx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
imagen.png,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
imagen.jpg,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-pdf.pdf,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
archivo-word.docx,file,12/12/2012 00:45pm,12/12/2012 01:45am,jperez,5mb
asd,file,asd,asd,asd,asd
micarpeta,file,asd,asd,asd,asd
carpetamia,folder,asd,asd,asd,asd
Otracarpeta,folder,12/12/2012,12/12/2012,aldo,44
